CLID	NAME	1X	2X	3X	4X	5X	BT474	MCF7	SKBR3	T47D	NORWAY 7	NORWAY 10	NORWAY 11	NORWAY 12	NORWAY 14	NORWAY 15	NORWAY 16	NORWAY 17	NORWAY 18	NORWAY 19	NORWAY 26	NORWAY 27	NORWAY 39	NORWAY 41	NORWAY 47	NORWAY 48	NORWAY 53	NORWAY 56	NORWAY 57	NORWAY 61	NORWAY 65	NORWAY 100	NORWAY 101	NORWAY 102	NORWAY 104	NORWAY 109	NORWAY 111	NORWAY 112	STANFORD 2	STANFORD 14	STANFORD 16	STANFORD 17	STANFORD 23	STANFORD 24	STANFORD 35	STANFORD 38	STANFORD A	BT474 (mRNA)	MCF7 (mRNA)	SKBR3 (mRNA)	T47D (mRNA)	NORWAY 7 (mRNA)	NORWAY 10 (mRNA)	NORWAY 11 (mRNA)	NORWAY 12 (mRNA)	NORWAY 14 (mRNA)	NORWAY 15 (mRNA)	NORWAY 16 (mRNA)	NORWAY 17 (mRNA)	NORWAY 18 (mRNA)	NORWAY 19 (mRNA)	NORWAY 26 (mRNA)	NORWAY 27 (mRNA)	NORWAY 39 (mRNA)	NORWAY 41 (mRNA)	NORWAY 47 (mRNA)	NORWAY 48 (mRNA)	NORWAY 53 (mRNA)	NORWAY 56 (mRNA)	NORWAY 57 (mRNA)	NORWAY 61 (mRNA)	NORWAY 65 (mRNA)	NORWAY 100 (mRNA)	NORWAY 101 (mRNA)	NORWAY 102 (mRNA)	NORWAY 104 (mRNA)	NORWAY 109 (mRNA)	NORWAY 111 (mRNA)	NORWAY 112 (mRNA)	STANFORD 2 (mRNA)	STANFORD 14 (mRNA)	STANFORD 16 (mRNA)	STANFORD 17 (mRNA)	STANFORD 23 (mRNA)	STANFORD 24 (mRNA)	STANFORD 35 (mRNA)	STANFORD 38 (mRNA)	STANFORD A (mRNA)
IMAGE:322807	chr1|nt13850||W15460||ESTs	-0.09	-0.29	0.08	0.06	0.16	-0.6	-0.54	-0.12	-0.09	-0.22	-0.18	-0.34	0.03	0.01	0.21	0.2	0.25	0.28	0.14	0.23	-0.18	0.06	0.24	0.23	0.21	0.11	0.29	0.15	-0.04	0.2	0.21	0.19	-0.25	-0.12	-0.12	-0.14	0.28	0.16	-0.01	0.23	0		-0.03	0.3	0.21	0.06	-0.41	-0.37		-0.88	-0.88	0.67	0.18	0.15	-0.5	-0.08	0.38	0.65	-0.66	-0.55	0.27	-0.42	0.31	-0.75	-0.05	0.17	-0.56	-0.61		0.31	0.46	0.01	0.32	0.42	0.02	0.04	-0.03			-0.21	0.29		0.08	0.3		0.17	
IMAGE:782434	chr1|nt71204||AA431426||Novel human gene mapping to chomosome 22	0	0.06	-0.04	-0.03	-0.04		0.07							-0.27	-0.18	0.08	0.06	0.03	-0.25	-0.09	0.2	0.01	0.08	0.03	0.07	-0.04	-0.01	-0.04	-0.15	0.01	0.01	-0.01	-0.12	-0.09	-0.3	0.1		0.12	-0.25	-0.01	-0.07	0.11	0	0.2	0.2	-0.09		-0.08		-0.85						-0.18	-0.19	0.41	-0.56		-0.48	0.28		-0.33		1.23	-0.12	-0.04				-0.32		-0.12		-0.51			-0.22		0.45	1.15	-0.53	0.09		0.05	
IMAGE:190915	"chr1|nt167764||H39221||ESTs, Weakly similar to Kelch motif containing protein [H.sapiens]"	-0.12	-0.04	-0.12	-0.06	-0.06	0.86	0.37	0.29	0.58	-0.07	0.61	-0.01	0.06	-0.18	0.04	0.2	0.46	0.29	-0.29	0.31	0.04	0.32	-0.38	0.21	0.63	-0.04	0.03	-0.09	-0.36	-0.09	0.08	0.11	0.1	0.06	0.11	0.31	0.14	0.12	-0.07	0.6	-0.14	-0.29	-0.32	0.58	0.23	-0.03			0.73		-0.03	-0.45		-0.6	-0.75	-0.32	-0.23	-0.36			-0.15	-0.32	-0.16	-0.41	1.1	-0.05		1.55	0.52	0.1		0.1	-0.54	-0.4	-0.28	-0.1	0.11		-0.24	-0.22		0.88	0.65	-0.6	0.44	0.68	0.13
IMAGE:810801	"chr1|nt187455||AA458878||Homo sapiens agrin precursor mRNA, partial cds"	0.16	0.21	0.14	-0.09	0.08	0.1	-0.25	0.15	0	-0.2	-0.17	-0.18	-0.03	-0.01	0	0.01	0.01	0.19	0.08	0.04	-0.18	0.06	0.43	0.29	0.21	0.01	0.11	0.32	0.15	0.15	0.14		0.1	-0.03	0.26	0.25	0.14		0.34	0.36	0.15	0.19	0.31	-0.1	0.46	0.06	0.08	0.47	1.96	1.4	-1.52	0.56	-0.7	0.2	-0.02	-0.08	0.21	-0.18	-0.86	-0.15	0.32	-0.91	0.12	-0.15	0.34	-0.21	0.58	-1.15	0.74	-0.24	-0.74	-0.16	0.19	-0.35	-0.24	0.06	-0.52	-0.04	0.26	1.79	0.19	1.22	-0.32	0.06	1.24	0.36	0.06
IMAGE:742132	"chr1|nt236684|1|AA406019|ISG15|interferon-stimulated protein, 15 kDa"	-0.09	-0.4	-0.2	-0.45	-0.09	0.01	-0.86	0.18	-0.54		0.24	0.38	-0.07	0.26	0.55	0.2	0.04	-0.07	0.55	0.11	0.2	0.29	0.48	0	-0.06	-0.09	0.15	0.18	0.25	0.26	0.2	-0.25	-0.09	-0.06	-0.2	-0.54	-0.06	0.01	0.14	0	-0.07	0.01	0.15	-0.49	-0.74	-0.4	-3.89	-3.04	-4.02	-3.89	-1.16	-2.24	2.2	0.23	-2.85	0.83	0.74	-1.39	1.54	1.98	2.01	1.41	1.18	0.54	0.21	-0.26	1.59	0.12	-1.3	-0.46	-2.16	-0.22	1.82	-0.83	1.38	-2.26	-0.79	-1.69	0.06	-0.87	1.28	-1.26	-0.3	-0.91	-0.06	-0.25	2.06
IMAGE:364685	chr1|nt526125||AA024391||ESTs	0.12	0.15	0.11	0.15	0.04	0.45	-0.03	-0.01	-0.04	0.15	0.01	0.23	-0.01	0.03	-0.01	0	-0.04	0.11	-0.03	-0.22	0.15	0.07	0.11	0.08	0.11	0.18	0.28	0.41	0.07	0.04	0.24	-0.06	0.01	0.08	0.07	0	0.07	-0.01	-0.07	0.07	0.15	0.08	0.04	0.06	0.06	0.01	0.09	0.03	-0.07	0.57	0.03	-0.41	0.12		-0.23	0	0.53	0	-0.08	-0.05	-0.58	0.03	-0.15	-0.14	-0.29	-0.26	0	-0.12	-0.17	-0.18	-0.12	0.1	-0.34	0.1	-1.54	-0.05	0.13	-0.49	0.46	0.55	-0.2	0.37	0.65	1.23	0.32	0.64	0.3
IMAGE:610341	chr1|nt891909||AA176164|KIAA1273|KIAA1273 protein	0.03	-0.18	-0.12	0.03	-0.1	1.49	0.55	-0.09	0.29	-0.3	0.04	-0.25	-0.34	-0.6	-0.32	-0.14	-0.23	-0.27	-0.12	-0.27	-0.22	-0.67	-0.01	0.16	-0.12	-0.14	0.39	-0.22	-0.09	-0.17	-0.47	-0.15	-0.14	0.15	-0.04	0.01	0.07	0.06	-0.01	0.25	-0.12	-0.25	-0.14	0.11	0.15	0.73	1.09	0.42	0.19	0.47	0.22	-0.69	0.02		-0.36	-0.21	-0.21	-0.19	0.26		-0.02	0.58	-0.34	0.09	0.35	-0.15	-0.4	0.96	-0.96	-0.02	-0.16	-0.1	-0.42	0.24	-0.18	-0.23	0.18	-0.02	-0.6	0.9	-0.07	0.38	-0.18	0.36	-0.08	0.55	0.55
IMAGE:505344	chr1|nt986694|1|AA147499|FLJ10024|hypothetical protein FLJ10024	-0.38	-0.09	-0.1	-0.15	-0.15	-0.29	-0.6	0	-0.18			-0.14	-0.29	-0.32		-0.34	-0.14	-0.07		-0.45	0.07	-0.14	0.08	-0.04	-0.2	-0.09	-0.03	-0.27	-0.14	-0.22	-0.25	-0.14	-0.3	-0.01	-0.45	-0.38	-0.01	0.1	0.15	0.11	0.01	-0.45	-0.18	-0.32	-0.09	-0.27	0.27	0.24	0.85	0.44	-0.02	-0.16	0.36	0.36	0.25	0.42	-0.36	-0.02	0.23	0.68	0.12	0.41	-0.36	0.43	0.23	1.11	-0.29	0.13	-0.58	-0.47	-0.56	-0.32	-0.47	-0.12	-0.93	-0.3	-1.27	-0.43	0.42	0.61	-0.1	0.59	-0.04	0.14	0.1	0.29	-0.16
IMAGE:120362	"chr1|nt996964||T95823||Homo sapiens cDNA FLJ20678 fis, clone KAIA4163"	-0.45	-0.06	-0.47	-0.23	-0.15	0	-0.29	0.25	-0.23	-0.07	0.46	0.25	-0.03	0.14	-0.17	-0.23	0	-0.2	0.12		0.25	0.11	0.07	0.14	-0.03	-0.04	0	-0.07	0.04	-0.07	-0.12	0.11	-0.01	0.19	0	-0.29	0.07	-0.09	0.2	0.03	0.06	-0.38	0.25	-0.22	-0.49	-0.43	-0.2	0.16	0.47	0.61	0.25	-0.78	-0.2	-0.48	0.43	-0.29	-0.66	0.21	0.14	-0.07	-0.38	0.41	-0.66	0.08	0.21	-0.27	-0.4	-0.31	-0.16	-0.05	0.04	0.02	-0.18	0.02	-0.72	0.42	-0.03	-0.31	0.43	1.68	0.97	0.51	-0.55	1.08	-0.63	0.31	-0.12
IMAGE:167280	chr1|nt1417212||R90744||ESTs	-0.1	0.18	0.21	0.14	0.04	-0.07	-0.36	0.28	-0.18	0.11	0.16	0.12	-0.01	0.11	0.19	0.15	0.04	0.01	0.03	0.1	0.44	0.07	-0.01	0.16	0.11	0.24	0.04	0.08	0.16	0.25	-0.04	0.01	0.16	0.06	0.19	-0.15	0.14	0.18	0.31	0.15	0.1	-0.29	0.21	0.06	0.24	-0.29	0.51	0.31	0.53	0.03	0.32	0.19	0.19	-0.33	0.18	-0.26	0.13	-0.06	0.42	-0.05	-0.26	-0.24	0.44	0.28	-0.62	-0.35	-0.1	-0.28	-0.18	0.06	0.12	-0.44	0.8	-0.44	0.37	0.12	0.2	-0.02	0.51	0.37	-0.17	-0.52	-0.33	-0.18	0.27	0.15	-0.18
